sentence-t5-base,gte-base-en-v1.5,bge-base-en-v1.5,instructor-base,e5-base,sup-simcse-bert-base-uncased,all-mpnet-base-v2,UAE-Large-V1
0.7573,0.3477,0.5977,0.8525,0.7344,0.6836,0.1766,0.4404
0.7886,0.319,0.4644,0.8384,0.736,0.636,0.1667,0.5107
0.795,0.4587,0.4827,0.827,0.8037,0.535,0.1401,0.4185
0.8037,0.524,0.606,0.787,0.7866,0.4827,0.2236,0.4578
0.8003,0.2778,0.487,0.837,0.715,0.574,0.1511,0.562
0.771,0.2769,0.4644,0.8384,0.717,0.5547,0.234,0.5933
0.8555,0.3582,0.536,0.8335,0.747,0.748,0.1581,0.4954
0.796,0.351,0.5356,0.813,0.729,0.7437,0.1708,0.4387
0.8013,0.2861,0.571,0.8413,0.698,0.4517,0.1552,0.509
0.8027,0.3906,0.5474,0.827,0.743,0.6133,0.2659,0.376
0.8037,0.2605,0.497,0.848,0.789,0.4814,0.1642,0.521
0.7993,0.3225,0.609,0.8125,0.744,0.954,0.22,0.499
0.7944,0.2479,0.4858,0.836,0.711,0.533,0.07086,0.4934
0.819,0.3542,0.4236,0.829,0.7534,0.753,0.1168,0.5205
0.77,0.256,0.6733,0.8506,0.7314,0.4824,0.2108,0.47
0.803,0.347,0.5566,0.7847,0.69,0.608,0.1709,0.46
0.7764,0.4385,0.6494,0.83,0.7134,0.3972,0.133,0.5977
0.855,0.331,0.522,0.8413,0.7363,0.526,0.2365,0.4536
0.769,0.4187,0.5464,0.8228,0.7803,0.888,0.1148,0.4841
0.7666,0.308,0.562,0.8535,0.7246,0.4905,0.1704,0.5117
0.7827,0.541,0.5327,0.8223,0.7163,0.518,0.1853,0.4727
0.794,0.3508,0.5347,0.8213,0.7476,0.5005,0.05484,0.5166
0.793,0.3926,0.678,0.866,0.7197,0.551,0.3433,0.472
0.7476,0.3933,0.4802,0.854,0.711,0.4895,0.1909,0.558
0.77,0.3171,0.4707,0.8335,0.7485,0.7974,0.2094,0.525
0.7656,0.3926,0.4636,0.827,0.7593,0.5957,0.1807,0.4832
0.82,0.3477,0.458,0.817,0.7686,0.536,0.218,0.5317
0.777,0.5273,0.3853,0.826,0.696,0.6885,0.2178,0.531
