i,raw_vocab,category,decoded,metrics,main_metric,metric_names,main_metric_name,verification,max_prob,magic,reencoded_ids,reencoded,model
1,</s>,OK_SPECIAL,</s>,"[97.830365, 106.041251, 137.680227]",97.830365,,,"[1.0000000000000122, 0.9985454545454666, 0.9985454545454666]",1.0000000000000122,strong_verified,,,sentence-t5-base
2226,▁tip,OK, tip,"[56.475278, 59.811531, 63.237172]",56.475278,,,"[0.9418181818181923, 0.9392727272727377, 0.918181818181828]",0.9418181818181923,strong_verified,,,sentence-t5-base
6397,▁br,OK, br,"[61.626297, 65.118991, 69.23426]",61.626297,,,"[0.9352727272727376, 0.932727272727283, 0.912363636363646]",0.9352727272727376,strong_verified,,,sentence-t5-base
6435,▁Gas,OK, Gas,"[60.824681, 64.376434, 67.899006]",60.824681,,,"[0.9527272727272835, 0.9501818181818289, 0.9505454545454654]",0.9527272727272835,strong_verified,,,sentence-t5-base
8753,▁blanc,OK, blanc,"[56.31283, 59.548217, 56.579859]",56.31283,,,"[0.9374545454545559, 0.9349090909091012, 0.9309090909091011]",0.9374545454545559,strong_verified,,,sentence-t5-base
9329,▁organism,OK, organism,"[61.780396, 65.453386, 57.20693]",61.780396,,,"[0.9389090909091014, 0.9363636363636467, 0.912363636363646]",0.9389090909091014,strong_verified,,,sentence-t5-base
9563,▁brake,OK, brake,"[62.245714, 65.817565, 65.316411]",62.245714,,,"[0.9367272727272831, 0.9352727272727376, 0.9312727272727375]",0.9367272727272831,strong_verified,,,sentence-t5-base
10802,▁joke,OK, joke,"[56.226857, 59.493331, 75.663948]",56.226857,,,"[0.9392727272727377, 0.9367272727272831, 0.9407272727272832]",0.9407272727272832,strong_verified,,,sentence-t5-base
11118,▁Gate,OK, Gate,"[61.58002, 65.124428, 57.260413]",61.58002,,,"[0.9403636363636468, 0.9378181818181922, 0.9112727272727369]",0.9403636363636468,strong_verified,,,sentence-t5-base
12620,durant,OK,durant,"[57.086276, 60.422828, 50.39033]",57.086276,,,"[0.9400000000000105, 0.9374545454545559, 0.9047272727272822]",0.9400000000000105,strong_verified,,,sentence-t5-base
14571,▁Tablet,OK, Tablet,"[56.091286, 59.372737, 69.852143]",56.091286,,,"[0.9487272727272834, 0.9472727272727379, 0.9505454545454654]",0.9505454545454654,strong_verified,,,sentence-t5-base
18351,▁grains,OK, grains,"[67.798522, 71.73251, 76.602426]",67.798522,,,"[0.9352727272727376, 0.932727272727283, 0.9378181818181922]",0.9378181818181922,strong_verified,,,sentence-t5-base
